,Unnamed: 0,head,left_elbow,left_foot,left_hand,left_hip,left_knee,left_shoulder,neck,right_elbow,right_foot,right_hand,right_hip,right_knee,right_shoulder,torso
7,7,"{'x': 0.0, 'z': 0.0, 'y': 0.0}","{'x': 0.24498562166773602, 'z': -0.007734259498541, 'y': -0.5455890905115091}","{'x': 0.13508468429854, 'z': 0.05965295703561901, 'y': -1.606367648815345}","{'x': 0.22916542425312203, 'z': -0.105544719347507, 'y': -0.830484347634262}","{'x': 0.11068623844358601, 'z': -0.0027977523627180003, 'y': -0.692600215525072}","{'x': 0.12050641240463501, 'z': 0.028791932061599003, 'y': -1.158529614262951}","{'x': 0.177890406321381, 'z': -1.8998308185746993e-05, 'y': -0.22508384548235502}","{'x': 4.0780825893982353e-07, 'z': -1.751941945293822e-06, 'y': -0.22618264652428402}","{'x': -0.16797138000231202, 'z': 0.021015498492575002, 'y': -0.531817169134309}","{'x': -0.06881462534883301, 'z': 0.051357189096848006, 'y': -1.6078069922073799}","{'x': -0.158063639625172, 'z': 0.041988776875334005, 'y': -0.836349501125619}","{'x': -0.10488797652263201, 'z': -0.0027544172142470002, 'y': -0.693939114798875}","{'x': -0.08339525754212901, 'z': 0.020490925038705, 'y': -1.159968318913002}","{'x': -0.17788849813808003, 'z': 2.2487320468833613e-05, 'y': -0.227286380632392}","{'x': 0.0014436169623620002, 'z': -0.0013747104061970002, 'y': -0.45972433626983106}"
12,12,"{'x': 0.0, 'z': 0.0, 'y': 0.0}","{'x': 0.33926017281653303, 'z': -0.06286402511599, 'y': -0.48359928680440006}","{'x': 0.140239934056842, 'z': 0.057569873862699, 'y': -1.606441845807311}","{'x': 0.46995897764715006, 'z': -0.26816760011199003, 'y': -0.6796073250587991}","{'x': 0.11086104915366402, 'z': -0.005143048007953, 'y': -0.6929654781866541}","{'x': 0.12418348564429502, 'z': 0.018959150339332, 'y': -1.159255608273478}","{'x': 0.177883136371455, 'z': 8.862755913163767e-06, 'y': -0.225442535730169}","{'x': -5.413089552819272e-06, 'z': 2.345949170923234e-06, 'y': -0.22661451848836603}","{'x': -0.35918852778792804, 'z': -0.018167652904216, 'y': -0.47699758806381304}","{'x': -0.06009916496353, 'z': 0.055750074761705, 'y': -1.607277356482704}","{'x': -0.545410509247086, 'z': -0.16575444664865202, 'y': -0.668397836260282}","{'x': -0.104718689636402, 'z': -0.005146776001668, 'y': -0.69439361371605}","{'x': -0.07615803257027301, 'z': 0.017132978961724003, 'y': -1.160090447333224}","{'x': -0.17790534391995602, 'z': 1.806925894687339e-06, 'y': -0.22779189609633502}","{'x': 0.0015319315102670001, 'z': -0.0025706568667990004, 'y': -0.460145129349446}"
17,17,"{'x': 0.0, 'z': 0.0, 'y': 0.0}","{'x': 0.455919434474693, 'z': -0.05254766130697101, 'y': -0.260043990704361}","{'x': 0.148138699326683, 'z': 0.002793378164832, 'y': -1.6035310836843002}","{'x': 0.693705040773101, 'z': -0.22967955742693402, 'y': -0.210317441141113}","{'x': 0.114000727688254, 'z': -0.0034528552973040003, 'y': -0.6886158846920101}","{'x': 0.129396452730056, 'z': -0.017608394764715003, 'y': -1.155250058256065}","{'x': 0.177876238062109, 'z': 7.379045668276518e-06, 'y': -0.22064345923609402}","{'x': -1.282166693261643e-06, 'z': 1.0515414490264161e-06, 'y': -0.22300143242209303}","{'x': -0.480362324028244, 'z': 0.036387310636690005, 'y': -0.266229208894153}","{'x': -0.05244322394980001, 'z': 0.00325050198217, 'y': -1.605695301231052}","{'x': -0.7825688298716431, 'z': -0.008820606453299, 'y': -0.23655861971566502}","{'x': -0.10155153371655401, 'z': -0.003469282121886, 'y': -0.6914961996906791}","{'x': -0.0711863476328, 'z': -0.017156011428117002, 'y': -1.157412183785966}","{'x': -0.17788336573760702, 'z': 1.49487565881401e-06, 'y': -0.22537437768622}","{'x': 0.0030950948768020004, 'z': -0.0017055744797180002, 'y': -0.45652341577383904}"
27,27,"{'x': 0.0, 'z': 0.0, 'y': 0.0}","{'x': 0.425538372553095, 'z': -0.022328048071354002, 'y': -0.04705568298184001}","{'x': 0.13336737034697102, 'z': 0.00536051363566, 'y': -1.599809925772208}","{'x': 0.620844762192515, 'z': -0.12659736688209, 'y': 0.160642874433184}","{'x': 0.109614580968101, 'z': -0.000606205973956, 'y': -0.6846444527847311}","{'x': 0.12418806347058801, 'z': -0.015874626564515, 'y': -1.151268230515917}","{'x': 0.177856750999342, 'z': -7.382290631685606e-06, 'y': -0.217268110987472}","{'x': -1.631410384261844e-05, 'z': 1.711500766887752e-06, 'y': -0.21803369651626403}","{'x': -0.42723871264162405, 'z': 0.028725140805518003, 'y': -0.036911471004729}","{'x': -0.07256286609762701, 'z': 0.0006730060799090001, 'y': -1.6000690497728112}","{'x': -0.66626559225657, 'z': 0.005303412070742, 'y': 0.18971448104420002}","{'x': -0.10602969969681801, 'z': -0.000571698076087, 'y': -0.685499932075027}","{'x': -0.081742977944944, 'z': -0.020557489762802, 'y': -1.151534078679427}","{'x': -0.177941591508359, 'z': 2.4063230201321065e-05, 'y': -0.21875452978186302}","{'x': 0.000977502031535, 'z': -0.00029312729272700004, 'y': -0.451568875875731}"
35,35,"{'x': 0.0, 'z': 0.0, 'y': 0.0}","{'x': 0.189939604380223, 'z': -0.002002172341157, 'y': 0.078476304989172}","{'x': 0.041625246659589006, 'z': -0.025143911174176, 'y': -1.588781186465759}","{'x': 0.141039593432898, 'z': -0.019833808074130002, 'y': 0.38053851651116505}","{'x': 0.092767864590396, 'z': -0.014874517670350001, 'y': -0.686221749887137}","{'x': 0.021216030309324, 'z': -0.078407663653296, 'y': -1.143406639618098}","{'x': 0.177757481823992, 'z': -0.000134444110551, 'y': -0.22185446806948902}","{'x': -8.49726982443677e-06, 'z': 7.229164325384119e-06, 'y': -0.21617456163800203}","{'x': -0.13492626319606002, 'z': -0.0008412139815020001, 'y': 0.10812201806782001}","{'x': -0.22959668477982903, 'z': -0.121015776891881, 'y': -1.5790604162584092}","{'x': -0.051412306855769, 'z': -0.016876691594588, 'y': 0.425303828708651}","{'x': -0.12271107933158101, 'z': -0.014549842141057001, 'y': -0.6793351024395471}","{'x': -0.18855868544, 'z': -0.10931678406218201, 'y': -1.131955111219214}","{'x': -0.17780632216535902, 'z': 0.00022815256803900003, 'y': -0.210479836100979}","{'x': -0.007480900754496001, 'z': -0.007364861716882, 'y': -0.44948553071558706}"
