,Unnamed: 0,head,left_elbow,left_foot,left_hand,left_hip,left_knee,left_shoulder,neck,right_elbow,right_foot,right_hand,right_hip,right_knee,right_shoulder,torso
5,5.0,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.43805437041072803, 'z': 0.065006732331065, 'x': 0.37426954400669804}","{'y': -1.6016693306242682, 'z': 0.094574689786935, 'x': 0.177784797353606}","{'y': -0.6736051944621251, 'z': -0.036345072691858, 'x': 0.21569830391632802}","{'y': -0.741563440998777, 'z': -0.024607370654986003, 'x': 0.101343232593899}","{'y': -1.177312772048423, 'z': -0.016688342356425002, 'x': 0.13225714541879302}","{'y': -0.273936479758205, 'z': 5.319925926361436e-05, 'x': 0.16847850732615202}","{'y': -0.275561726584967, 'z': 6.129397712051343e-06, 'x': -5.353827078335982e-07}","{'y': -0.452883763136585, 'z': 0.09294784129170301, 'x': -0.33668543468308204}","{'y': -1.5968334943820421, 'z': 0.097471928695157, 'x': -0.10945615305272201}","{'y': -0.6548532516031831, 'z': 0.0008312723067580001, 'x': -0.20661546004394202}","{'y': -0.7434291961200551, 'z': -0.024652565958106002, 'x': -0.092323963366868}","{'y': -1.176006424723327, 'z': -0.00039957951717600005, 'x': -0.10987398133769401}","{'y': -0.27718984923502704, 'z': -2.1268969307541855e-05, 'x': -0.168485939961766}","{'y': -0.5090329403603541, 'z': -0.012310192466923001, 'x': 0.002255986959124}"
11,11.0,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.43410427052633804, 'z': 0.067282870600349, 'x': 0.34938567318803704}","{'y': -1.420146718542259, 'z': -0.344011605016773, 'x': 0.09693796779492}","{'y': -0.642567223475203, 'z': -0.040148635523783005, 'x': 0.225688799442389}","{'y': -0.6974833267870411, 'z': -0.07982956560557401, 'x': 0.11118252715862201}","{'y': -0.9538162964568161, 'z': -0.390437823212101, 'x': 0.089259793544272}","{'y': -0.265023028131162, 'z': 0.000583625190355, 'x': 0.172795190353789}","{'y': -0.27143225157223705, 'z': 3.973555267045015e-06, 'x': 5.188796254829153e-06}","{'y': -0.46504959538081103, 'z': 0.056408061798898006, 'x': -0.351702363029676}","{'y': -1.496794194895585, 'z': -0.106668522080457, 'x': -0.037249919452012004}","{'y': -0.6707662599906881, 'z': -0.011787871612674, 'x': -0.21815079262976403}","{'y': -0.704541414761215, 'z': -0.080479851573564, 'x': -0.07860417169200101}","{'y': -1.087238834197315, 'z': -0.15957078916306303, 'x': -0.08171097231414301}","{'y': -0.277854942948053, 'z': -0.000550234265961, 'x': -0.17275986298533502}","{'y': -0.48625146757590604, 'z': -0.040005477905249005, 'x': 0.008101843364865}"
