,Unnamed: 0,head,left_elbow,left_foot,left_hand,left_hip,left_knee,left_shoulder,neck,right_elbow,right_foot,right_hand,right_hip,right_knee,right_shoulder,torso
5,5,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.44257037861983606, 'z': 0.07663882683042801, 'x': 0.351930844167241}","{'y': -1.601735508020227, 'z': -0.067677550079606, 'x': 0.117107094537424}","{'y': -0.656793658998149, 'z': -0.04646468716233, 'x': 0.234869246800494}","{'y': -0.6914437106012491, 'z': -0.042536754759736006, 'x': 0.11550068497349701}","{'y': -1.14908738062217, 'z': -0.141455513318497, 'x': 0.11562979207541}","{'y': -0.261346082900733, 'z': 0.00044711870240300006, 'x': 0.17248565533903001}","{'y': -0.270233323781129, 'z': 6.84314670484909e-06, 'x': 2.728898848447514e-06}","{'y': -0.47839751063776603, 'z': 0.08242509472942601, 'x': -0.32219331015842}","{'y': -1.6278043019857251, 'z': -0.050862564007472, 'x': -0.032523321158387006}","{'y': -0.670114971589161, 'z': -0.016532400835126002, 'x': -0.196179757286068}","{'y': -0.7010734120891551, 'z': -0.042979610845239005, 'x': -0.07138522925561801}","{'y': -1.164973031904121, 'z': -0.11836165705691701, 'x': -0.059510071983296005}","{'y': -0.279122304486969, 'z': -0.00040509917486900005, 'x': -0.17246695256045502}","{'y': -0.483240322825818, 'z': -0.021386060246257003, 'x': 0.011036000637843001}"
11,11,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.42687361892014103, 'z': 0.064279100404056, 'x': 0.36406688842691204}","{'y': -1.4800002019830352, 'z': -0.354007277161813, 'x': 0.26366084678871204}","{'y': -0.627078169042504, 'z': -0.091274939707292, 'x': 0.23710562515118302}","{'y': -0.653514371135822, 'z': -0.11729643365898301, 'x': 0.11997748298095601}","{'y': -1.063872071859593, 'z': -0.29937611885083104, 'x': 0.19707393571158102}","{'y': -0.25480889223290804, 'z': 0.001475959783267, 'x': 0.17658276630010702}","{'y': -0.264884877679669, 'z': -9.486563357086197e-08, 'x': 7.124544645908948e-07}","{'y': -0.49060199427148704, 'z': 0.030941340515502003, 'x': -0.320983494097405}","{'y': -1.537368007127637, 'z': -0.26520651731917805, 'x': -0.083470893646943}","{'y': -0.6584801794407901, 'z': -0.060009641858854004, 'x': -0.20686076004477802}","{'y': -0.664524565561416, 'z': -0.118909430208308, 'x': -0.073018560143529}","{'y': -1.086267717532763, 'z': -0.260533714982414, 'x': -0.09647747280053501}","{'y': -0.27496001002919, 'z': -0.0014769469756990001, 'x': -0.176580051360528}","{'y': -0.46195284627877103, 'z': -0.059052027368317, 'x': 0.011739507071360001}"
18,18,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.450764621279149, 'z': 0.034595929524229005, 'x': 0.34994537724290103}","{'y': -1.416727001292017, 'z': -0.43714395575163706, 'x': 0.627830341711485}","{'y': -0.656118215315439, 'z': -0.08575767064470101, 'x': 0.15734385016831}","{'y': -0.6902096714243421, 'z': -0.029811222430432, 'x': 0.113078027098228}","{'y': -1.095713615367716, 'z': -0.138027663268659, 'x': 0.32076341894425503}","{'y': -0.22200591338567102, 'z': 0.00011514564356400001, 'x': 0.19353157115185501}","{'y': -0.22408874853891703, 'z': 1.5275063481645642e-05, 'x': 5.5231234667441065e-06}","{'y': -0.426372506592042, 'z': 0.045103397747621, 'x': -0.382736304607243}","{'y': -1.592622042491553, 'z': -0.149331851625809, 'x': -0.228473663934623}","{'y': -0.660646716731452, 'z': -0.032258212115326, 'x': -0.201391462968519}","{'y': -0.692484526127454, 'z': -0.029937697354033004, 'x': -0.103062881480435}","{'y': -1.148680773406983, 'z': -0.119279904350749, 'x': -0.15964159903889202}","{'y': -0.226123607067577, 'z': -4.590515557190144e-05, 'x': -0.193502339584041}","{'y': -0.457741384905188, 'z': -0.014928190745043, 'x': 0.0025177522446070003}"
