,Unnamed: 0,head,left_elbow,left_foot,left_hand,left_hip,left_knee,left_shoulder,neck,right_elbow,right_foot,right_hand,right_hip,right_knee,right_shoulder,torso
3,3,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.511455535059208, 'z': 0.065966239171117, 'x': 0.32913565059834204}","{'y': -1.688226524837108, 'z': -0.096460818210209, 'x': 0.017279125168804}","{'y': -0.7057600206487921, 'z': -0.047593949055740006, 'x': 0.17648504104533802}","{'y': -0.720484694212095, 'z': -0.064311538856447, 'x': 0.06394098687842001}","{'y': -1.21569221001344, 'z': -0.12324399825024801, 'x': 0.040251080097223}","{'y': -0.27827169268947705, 'z': -0.001154474373998, 'x': 0.17671830113685502}","{'y': -0.26178467954656304, 'z': 1.798128348884375e-06, 'x': 3.755270063465765e-06}","{'y': -0.42223503020094605, 'z': 0.090099817820723, 'x': -0.36877522096124005}","{'y': -1.645382719231643, 'z': -0.10064754278700401, 'x': -0.238776504930462}","{'y': -0.6338084001819121, 'z': -0.087435146736676, 'x': -0.23244923041784002}","{'y': -0.700660530073503, 'z': -0.06292921714329501, 'x': -0.14847315192388}","{'y': -1.1816531722034, 'z': -0.11377984163528501, 'x': -0.202884344788438}","{'y': -0.24530429227303602, 'z': 0.001162742834817, 'x': -0.176698564826567}","{'y': -0.48618692569327504, 'z': -0.031800239626876003, 'x': -0.021136263134038002}"
7,7,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.42079032865491206, 'z': 0.062158842675253005, 'x': 0.35805728254641905}","{'y': -1.498992299955238, 'z': -0.28069228174321403, 'x': 0.142584261534097}","{'y': -0.6723880788512321, 'z': 0.006256867416706001, 'x': 0.21299986579346603}","{'y': -0.6508998668229631, 'z': -0.064691452802471, 'x': 0.115356113718244}","{'y': -1.056185078787939, 'z': -0.28167280596042304, 'x': 0.14271880700327402}","{'y': -0.23736974903913602, 'z': 0.00046662904254400004, 'x': 0.17221753168800402}","{'y': -0.24332500670558202, 'z': -3.2220657475434683e-07, 'x': -7.294404114066566e-08}","{'y': -0.46135585688860703, 'z': 0.060975908112346, 'x': -0.328580577868101}","{'y': -1.450599452557848, 'z': -0.30478923598563, 'x': -0.12338121867670401}","{'y': -0.591597039001317, 'z': 0.029977323591153, 'x': -0.205066669906547}","{'y': -0.657906597008381, 'z': -0.065210074745324, 'x': -0.086494997547717}","{'y': -1.031180325124316, 'z': -0.27530532831025, 'x': -0.14390759542258302}","{'y': -0.24929835872656703, 'z': -0.00047034666564800006, 'x': -0.172236642526636}","{'y': -0.44887784423652805, 'z': -0.032497325814832, 'x': 0.007195959690032}"
12,12,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.49227213561033106, 'z': -0.155977878788463, 'x': 0.187791244321367}","{'y': -1.268358561215679, 'z': -0.672213762096992, 'x': 0.12767124934472002}","{'y': -0.7577231116966111, 'z': -0.30985551201334605, 'x': 0.17443249037819802}","{'y': -0.67123601634006, 'z': -0.003960581774363, 'x': 0.10771526546111401}","{'y': -0.8724192021505741, 'z': -0.438193856804068, 'x': 0.138273562914}","{'y': -0.227801213435876, 'z': -7.236050496128854e-06, 'x': 0.19484859797534002}","{'y': -0.22731122263324102, 'z': -5.137810707989132e-07, 'x': -3.880036723358238e-06}","{'y': -0.49127485124104303, 'z': -0.15597016310762002, 'x': -0.201935585724816}","{'y': -1.188688978297841, 'z': -0.39180451697788, 'x': -0.13698814140391802}","{'y': -0.756076834842015, 'z': -0.3114913188724, 'x': -0.19863019401416301}","{'y': -0.67066393382398, 'z': -0.003951395435403, 'x': -0.11008760527672701}","{'y': -0.73000546269609, 'z': -0.364161073849255, 'x': -0.15848623355420102}","{'y': -0.22681585575269303, 'z': 7.156446315548237e-06, 'x': -0.19486649560156702}","{'y': -0.44912979149900206, 'z': -0.001972161491615, 'x': -0.000557737907568}"
17,17,"{'y': 0.0, 'z': 0.0, 'x': 0.0}","{'y': -0.49193813193102504, 'z': -0.153295156041468, 'x': 0.18634710335822802}","{'y': -1.316863833652862, 'z': -0.6313601749980361, 'x': 0.104114207477804}","{'y': -0.757915750830754, 'z': -0.30660051605023203, 'x': 0.177843596097143}","{'y': -0.669016318246469, 'z': 0.0077078293449280005, 'x': 0.106197667904351}","{'y': -0.918432313384218, 'z': -0.401710872899039, 'x': 0.11685977512603801}","{'y': -0.22595997355410402, 'z': 9.685254164448764e-06, 'x': 0.194856190956453}","{'y': -0.22477922081008803, 'z': -1.9519110305843412e-07, 'x': 4.4323395384515685e-07}","{'y': -0.48957478971129603, 'z': -0.153322408782804, 'x': -0.203355320123764}","{'y': -1.058711845499817, 'z': -0.253754903013638, 'x': -0.133016426140237}","{'y': -0.7555527087348901, 'z': -0.306626549296646, 'x': -0.21186919802356102}","{'y': -0.667691175691966, 'z': 0.007720116533735001, 'x': -0.11157857905823201}","{'y': -0.600818623029242, 'z': -0.26220950723186504, 'x': -0.17660708795538402}","{'y': -0.22359685939442703, 'z': -1.7354283388781863e-05, 'x': -0.19484691988957903}","{'y': -0.44656599631840305, 'z': 0.003831133134149, 'x': -0.00134284550431}"
